_id,uid,title,detailUrl,address,phoneNumber,tags
5cd525072b653229002b60a3,6deee30897eab67329fc4815,中国人民解放军第四五一医院,http://api.map.baidu.com/place/detail?uid=6deee30897eab67329fc4815&output=html&source=jsapi,西安市碑林区友谊东路269号,null,"医疗,社区医疗/诊所/卫生所"
5cd525072b653229002b60a4,c1ca1457f5ce3ec63be4a691,西安碑林健和堂中医医院,http://api.map.baidu.com/place/detail?uid=c1ca1457f5ce3ec63be4a691&output=html&source=jsapi,西安市碑林区互助路2号,null,"医疗,社区医疗/诊所/卫生所"
5cd525072b653229002b60a5,62d60c1eca56c7a70289728b,西安雁塔佲德中医医院,http://api.map.baidu.com/place/detail?uid=62d60c1eca56c7a70289728b&output=html&source=jsapi,西安市雁塔区朱雀大街南段36号明德门小区南新区13号楼1层2层,(029)85454573,null
5cd525072b653229002b60a6,909525ca5d7410bbddee8b62,西安长峰机电研究所医院,http://api.map.baidu.com/place/detail?uid=909525ca5d7410bbddee8b62&output=html&source=jsapi,西安市雁塔区电子一路86号,null,null
5cd525072b653229002b60a7,550fd5f90fe1f304931fc9ed,西安市第五医院,http://api.map.baidu.com/place/detail?uid=550fd5f90fe1f304931fc9ed&output=html&source=jsapi,陕西省西安市莲湖区西关正街112号,"(029)84696442,(029)84696356",null
5cd525072b653229002b60a8,251374c950e1be26a01de9e2,西安莲湖大唐医院,http://api.map.baidu.com/place/detail?uid=251374c950e1be26a01de9e2&output=html&source=jsapi,西安市新城区北关正街3号,(029)86352856,"医疗,综合<font color=""#c60a00"">医院</font>"
5cd525072b653229002b60a9,00e1cff0626b54c39900505b,西安交通大学第二附属医院医疗联合体医院,http://api.map.baidu.com/place/detail?uid=00e1cff0626b54c39900505b&output=html&source=jsapi,西安市未央区,null,null
5cd525072b653229002b60aa,f5c8cd4c6867eadb3a04b144,西安交通大学医学院第二附属医院西北医院预防保健与社区服务部,http://api.map.baidu.com/place/detail?uid=f5c8cd4c6867eadb3a04b144&output=html&source=jsapi,西五路100-1号附近,null,null
5cd525072b653229002b60ab,bc768e7d12b212d92ce67b1b,西安新城宏道中医院,http://api.map.baidu.com/place/detail?uid=bc768e7d12b212d92ce67b1b&output=html&source=jsapi,西安市新城区,null,null
5cd525072b653229002b60ac,4edf9fbf4b90ea8dcc06a45a,西安唐城医院(啤酒路),http://api.map.baidu.com/place/detail?uid=4edf9fbf4b90ea8dcc06a45a&output=html&source=jsapi,西安市未央区太华南路99号,(029)82109999,null
5cd525072b653229002b60ad,af067cec628a30646cc02c37,陕西省第二人民医院(新城区医疗联合体),http://api.map.baidu.com/place/detail?uid=af067cec628a30646cc02c37&output=html&source=jsapi,纱厂街1号附近,null,null
5cd525072b653229002b60ae,3dc4ed32acff690a6240a9fe,西北大学医院,http://api.map.baidu.com/place/detail?uid=3dc4ed32acff690a6240a9fe&output=html&source=jsapi,陕西省西安市碑林区大学南路91,null,null
5cd525072b653229002b60af,464e58a1a13a158d76e5b679,西安未央正泰医院国医馆,http://api.map.baidu.com/place/detail?uid=464e58a1a13a158d76e5b679&output=html&source=jsapi,西安市未央区永兴路与龙首北路西段交叉口东北100米,null,null
